Species	Sex	Temp.C	Dry.Mass.mg
PtA	F	20.6	172.92
PtA	F	24.4	110.44
PtA	F	28.6	104.76
PtA	F	30.2	108.04
PtA	F	33.1	99.64
PtA	M	20.6	157.16
PtA	M	24.4	102.36
PtA	M	28.6	95.68
PtA	M	30.2	101.24
PtA	M	33.1	87.24
PtD	F	20.6	106.28
PtD	F	24.4	86.52
PtD	F	28.6	85.76
PtD	F	30.2	94
PtD	F	33.1	76.48
PtD	M	20.6	100.72
PtD	M	24.4	78.12
PtD	M	28.6	78.76
PtD	M	30.2	83.16
PtD	M	33.1	67.6
AM	F	20	3.24
AM	F	25	5.28
AM	F	28	6.16
AM	F	30	6.16
AM	F	35	6.08
AM	M	20	2.16
AM	M	25	3.28
AM	M	28	3.48
AM	M	30	3.68
AM	M	35	3.72
OC	F	28	3.94
OC	F	40	3.532
OC	F	42	4.216
OC	F	44	3.604
OC	M	28	2.444
OC	M	40	2.416
OC	M	42	2.6
OC	M	44	2.528
HA	F	12.5	49.2307791
HA	F	15	51.02098942
HA	F	17.5	52.13987001
HA	F	20	56.61539092
HA	F	25	45.202813
HA	M	12.5	43.86015166
HA	M	15	45.87413972
HA	M	17.5	49.23078136
HA	M	20	49.67833365
HA	M	25	45.87414113
AB	F	19	5.264
AB	F	23	5.34
AB	F	27	4.704
AB	M	19	4.004
AB	M	23	4.156
AB	M	27	3.496
AB	F	19	4.856
AB	F	23	4.888
AB	F	27	4.484
AB	M	19	3.92
AB	M	23	3.648
AB	M	27	3.54
AB	F	19	5.264
AB	F	23	5.34
AB	F	27	4.704
AB	M	19	4.012
AB	M	23	4.076
AB	M	27	3.564
EA	F	10	19.4
EA	F	15	24.096
EA	F	20	25.816
EA	F	25	27.44
EA	F	30	27.72
EA	M	10	14.44
EA	M	15	19.36
EA	M	20	20.28
EA	M	25	21.24
EA	M	30	20.12
AC	F	16	4.956
AC	F	18	4.388
AC	F	20	4.688
AC	F	22	4.5
AC	M	16	4.208
AC	M	18	4.204
AC	M	20	4.412
AC	M	22	4.244
SS	F	20	0.24
SS	F	25	0.24
SS	F	30	0.24
SS	M	20	0.2
SS	M	25	0.24
SS	M	30	0.24
CY	F	15	289.28
CY	F	20	239.04
CY	F	25	241.44
CY	M	15	278.6
CY	M	20	236.64
CY	M	25	221.32
SL	F	24	1.412239289
SL	F	24	1.488074867
SL	F	30	1.333581158
SL	F	30	1.357626584
SL	F	36	1.278979136
SL	F	36	1.23643723
SL	M	24	1.520459844
SL	M	24	1.55034489
SL	M	30	1.419310507
SL	M	30	1.435402452
SL	M	36	1.334253107
SL	M	36	1.3
CalM	F	20	2.584
CalM	F	25	2.384
CalM	F	30	2.184
CalM	F	35	1.992
CalM	M	20	2.232
CalM	M	25	1.808
CalM	M	30	1.552
CalM	M	35	1.456
CalM	F	20	3.104
CalM	F	25	2.784
CalM	F	30	2.432
CalM	F	35	2.132
CalM	M	20	2.604
CalM	M	25	1.976
CalM	M	30	1.648
CalM	M	35	1.512
