"count","habitat","flowers"
11,"urban",10
7,"urban",5
0,"urban",6
0,"meadow",4
0,"urban",7
0,"meadow",5
20,"meadow",8
6,"meadow",3
4,"urban",4
6,"forest",2
7,"meadow",3
22,"meadow",10
5,"forest",4
14,"meadow",6
9,"urban",7
4,"forest",2
0,"urban",3
0,"urban",4
4,"forest",2
6,"forest",2
27,"forest",11
13,"forest",10
0,"urban",3
14,"meadow",8
0,"urban",5
10,"meadow",4
4,"forest",5
14,"meadow",6
2,"urban",2
3,"meadow",4
12,"forest",6
3,"urban",4
10,"urban",7
4,"forest",3
0,"urban",5
7,"meadow",4
0,"forest",3
0,"urban",9
1,"forest",4
8,"forest",5
4,"meadow",1
3,"urban",5
0,"urban",6
8,"forest",5
3,"urban",4
0,"forest",8
8,"urban",6
8,"meadow",4
5,"forest",4
6,"meadow",3
10,"forest",7
18,"forest",9
0,"urban",5
7,"forest",4
41,"meadow",12
1,"forest",3
1,"forest",5
1,"urban",2
3,"forest",5
3,"meadow",2
5,"forest",3
0,"urban",4
10,"forest",5
4,"urban",6
6,"meadow",3
8,"urban",7
8,"meadow",6
9,"meadow",6
3,"urban",3
5,"meadow",4
0,"meadow",6
0,"urban",5
0,"urban",4
0,"forest",3
8,"meadow",2
6,"meadow",3
19,"forest",8
15,"meadow",7
8,"forest",6
8,"forest",3
3,"meadow",3
0,"urban",10
2,"urban",4
10,"forest",5
3,"meadow",3
5,"forest",5
16,"meadow",4
6,"forest",3
5,"urban",6
0,"urban",4
14,"meadow",7
0,"urban",2
0,"forest",7
6,"meadow",4
9,"meadow",6
0,"urban",6
8,"meadow",5
11,"forest",6
2,"urban",0
6,"urban",3
2,"urban",6
11,"meadow",3
17,"meadow",7
4,"urban",4
6,"forest",6
0,"forest",9
2,"urban",2
9,"meadow",3
10,"meadow",6
7,"meadow",4
20,"meadow",7
20,"meadow",10
9,"meadow",2
4,"urban",5
16,"meadow",6
0,"forest",2
37,"meadow",11
0,"meadow",3
6,"meadow",2
8,"urban",6
16,"meadow",7
0,"urban",4
9,"meadow",4
1,"urban",4
0,"forest",2
0,"urban",4
0,"urban",3
0,"urban",5
0,"forest",5
0,"urban",9
0,"urban",4
11,"meadow",5
7,"meadow",2
17,"meadow",7
4,"urban",4
7,"urban",6
2,"urban",3
12,"meadow",5
0,"forest",7
10,"meadow",2
13,"forest",7
2,"urban",4
1,"urban",4
11,"meadow",4
6,"forest",1
2,"urban",5
9,"forest",6
0,"urban",8
5,"meadow",1
24,"meadow",11
6,"forest",4
0,"urban",9
11,"meadow",6
10,"forest",5
0,"urban",7
0,"urban",1
0,"urban",6
8,"forest",4
18,"meadow",7
5,"meadow",5
8,"forest",4
14,"meadow",7
4,"urban",2
2,"urban",7
0,"forest",4
21,"meadow",6
14,"forest",9
3,"meadow",2
0,"urban",7
6,"urban",7
10,"forest",4
0,"urban",4
6,"meadow",3
0,"forest",5
0,"forest",8
10,"meadow",5
4,"urban",5
8,"forest",6
11,"meadow",5
9,"meadow",5
7,"forest",1
8,"meadow",2
10,"forest",8
12,"forest",7
5,"meadow",3
8,"forest",6
4,"urban",6
10,"forest",4
10,"forest",7
12,"meadow",5
0,"forest",8
8,"meadow",5
7,"forest",8
13,"forest",5
0,"forest",4
6,"urban",9
0,"urban",6
7,"meadow",4
3,"forest",1
8,"meadow",5
0,"urban",5
15,"meadow",8
9,"urban",7
12,"meadow",7
0,"urban",4
0,"forest",8
2,"forest",3
9,"forest",4
0,"forest",6
0,"urban",10
11,"meadow",5
6,"forest",5
5,"meadow",2
18,"forest",10
0,"urban",2
3,"urban",2
14,"forest",8
0,"meadow",5
4,"urban",4
0,"forest",8
2,"urban",1
4,"meadow",3
0,"forest",6
7,"forest",3
8,"forest",4
2,"forest",3
0,"forest",7
3,"urban",3
14,"meadow",7
10,"meadow",4
8,"meadow",4
11,"urban",6
0,"forest",2
4,"meadow",1
34,"meadow",11
7,"forest",5
12,"meadow",7
7,"forest",8
0,"forest",6
28,"meadow",10
0,"urban",2
18,"forest",8
0,"urban",7
10,"forest",7
0,"meadow",4
0,"forest",2
6,"meadow",4
6,"meadow",4
10,"meadow",7
0,"urban",4
8,"forest",4
14,"forest",6
10,"forest",7
9,"forest",5
0,"urban",6
3,"forest",2
4,"meadow",3
14,"forest",9
11,"meadow",6
0,"meadow",7
9,"forest",4
4,"forest",5
13,"forest",7
6,"forest",8
5,"urban",4
0,"forest",2
14,"forest",6
8,"forest",6
5,"meadow",2
6,"meadow",4
0,"urban",5
12,"meadow",6
0,"urban",8
5,"forest",5
8,"forest",5
9,"forest",6
0,"forest",7
11,"forest",8
8,"urban",2
0,"forest",5
5,"forest",4
2,"urban",7
0,"urban",7
6,"meadow",2
11,"forest",6
9,"forest",3
4,"forest",2
15,"meadow",9
0,"forest",3
15,"meadow",6
0,"forest",3
3,"forest",1
0,"urban",5
3,"urban",2
4,"meadow",4
8,"meadow",4
12,"forest",5
0,"urban",7
6,"forest",3
4,"forest",5
